projection_mode,season,week,team,opponent_team,player_id,player_name,position,projected_carries,projected_yards_per_carry,projected_rushing_yards_raw,calibration_bucket,calibration_multiplier,projected_rushing_yards_calibrated,projected_rushing_yards,is_prop_candidate,overall_rank,team_rank,position_rank,confidence_score,confidence_bucket,quality_flags,usage_status,leakage_status
historical_test,2025,1,PHI,KC,00-0034844,S.Barkley,RB,17.840498008670213,5.057777539297555,90.23327011813495,60+,1.0733277530543663,96.84987306664549,96.84987306664549,True,1,1,1,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,BAL,BUF,00-0032764,D.Henry,RB,16.06938947753846,5.177400137218982,83.1976592860329,60+,1.0733277530543663,89.29835670086044,89.29835670086044,True,2,1,2,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,IND,JAX,00-0036223,J.Taylor,RB,17.65653442323604,4.531394829827623,80.00872879812525,60+,1.0733277530543663,85.87558910562794,85.87558910562794,True,3,1,3,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LA,PHI,00-0037840,K.Williams,RB,16.442632733527898,4.3139020184128025,70.93190653718642,60+,1.0733277530543663,76.13318386342063,76.13318386342063,True,4,1,4,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,ATL,CAR,00-0038542,B.Robinson,RB,14.668439185140803,4.581396837552359,67.20194089463318,60+,1.0733277530543663,72.12970822132897,72.12970822132897,True,5,1,5,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,GB,PHI,00-0035700,J.Jacobs,RB,15.23116319947772,4.263057558347953,64.93132539996468,60+,1.0733277530543663,69.692593594386,69.692593594386,True,6,1,6,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DET,WAS,00-0039139,J.Gibbs,RB,12.550383629585248,5.161925985976244,64.78415139152695,60+,1.0733277530543663,69.53462764660152,69.53462764660152,True,7,1,7,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,HOU,KC,00-0033897,J.Mixon,RB,15.047227063928682,4.201775543843668,63.2250706798781,60+,1.0733277530543663,67.86122304953706,67.86122304953706,True,8,1,8,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CAR,ARI,00-0036555,C.Hubbard,RB,14.064272518474136,4.4781449770082205,62.9818513338797,60+,1.0733277530543663,67.60016897539725,67.60016897539725,True,9,1,9,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,ARI,LA,00-0033553,J.Conner,RB,13.121025392037357,4.5476760548351445,59.670172990252205,40-60,1.024818045751556,61.15107007352755,61.15107007352755,True,10,1,10,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
